ticker,date,Return_1D,Open,High,Low,Close,Volume,MA_5,MA_21,MA_126,MA_252,Volatility_21,sentiment_mean,sentiment_median,sentiment_std,sentiment_min,sentiment_max,article_count,unique_sources,truncated_articles,positive_count,neutral_count,negative_count,positive_ratio,neutral_ratio,negative_ratio,truncated_ratio,target_direction
GOOG,2026-04-09,0.0051788934783874,313.19000244140625,317.42999267578125,309.4700012207031,316.3699951171875,14606800,305.43199462890624,297.7195231119792,302.0073041159009,246.6786693391346,0.0212979561330883,0.35446666666666665,0.4286,0.3912859552653005,-0.4767,0.7906,12,9,12,9,1,2,0.75,0.08333333333333333,0.16666666666666666,1.0,1
GOOG,2026-04-10,-0.0020545371132417,318.2250061035156,319.5,314.5400085449219,315.7200012207031,11997600,309.6839965820312,298.067141578311,302.56756385924325,247.3518636794317,0.0212994758791005,0.39677777777777773,0.5719,0.4470653609310885,-0.6344,0.7964,9,8,9,7,1,1,0.7777777777777778,0.1111111111111111,0.1111111111111111,1.0,0
GOOG,2026-04-13,0.011054067594328,315.4200134277344,319.42999267578125,313.69000244140625,319.2099914550781,12212800,313.993994140625,298.82904634021577,303.181280590239,247.9816449483236,0.0209746265277133,0.5227625,0.61725,0.2925825252935364,0.0,0.8316,8,7,8,7,1,0,0.875,0.125,0.0,1.0,1
GOOG,2026-04-14,0.0356191705195656,322.06500244140625,330.6400146484375,321.1499938964844,330.5799865722656,18557500,319.32399291992186,300.21571277436755,303.92264496334013,248.6790468125116,0.0220593884572677,0.012066666666666675,-0.13085,0.5362079046132171,-0.8074,0.875,12,11,12,5,1,6,0.4166666666666667,0.08333333333333333,0.5,1.0,1
GOOG,2026-04-15,0.0117672418369074,330.5599975585937,335.0,328.6600036621094,334.4700012207031,15104100,323.2699951171875,301.64666457403274,304.6382135058206,249.37594828529964,0.022086378922266,0.06208,0.0,0.41200884510462205,-0.7783,0.6369,10,8,10,4,4,2,0.4,0.4,0.2,1.0,1
GOOG,2026-04-16,-0.005082704579863,335.8500061035156,337.3800048828125,331.65008544921875,332.7699890136719,13822453,326.54999389648435,302.75904482886904,305.3280048673115,250.05791770087347,0.0220161618250365,0.2876375,0.22025,0.33398730889062234,-0.1779,0.9049,16,12,16,10,5,1,0.625,0.3125,0.0625,1.0,0
GOOGL,2026-03-25,0.0016870618036641,293.44000244140625,296.0,289.239990234375,290.92999267578125,29460700,298.31199951171874,304.1242980957031,297.8639365302192,240.50035955035497,0.0147409778194956,-0.16588,-0.26115,0.38677528876597067,-0.5423,0.5267,10,8,10,2,1,7,0.2,0.1,0.7,1.0,1
GOOGL,2026-03-26,-0.034406831540405,287.9100036621094,287.95001220703125,278.5,280.9200134277344,39080600,293.07000122070315,302.61192394438245,298.1346928429982,240.94063483344183,0.016066065055321,0.03660952380952382,0.1531,0.5462805532917696,-0.8519,0.8979,21,12,21,11,2,8,0.5238095238095238,0.09523809523809523,0.38095238095238093,1.0,0
GOOGL,2026-03-27,-0.0234230983031632,277.2799987792969,279.3699951171875,273.95001220703125,274.3399963378906,35890600,287.7380004882813,301.04888625372024,298.36392672099765,241.37654894874208,0.0163413658571282,0.053356521739130434,0.3818,0.5801421164649595,-0.8979,0.7964,23,18,23,12,2,9,0.5217391304347826,0.08695652173913043,0.391304347826087,1.0,0
GOOGL,2026-03-30,-0.0030618806922197,276.4200134277344,277.0899963378906,272.1099853515625,273.5,35141200,282.0260009765625,299.2374238513765,298.5805495731414,241.82028149801587,0.0157344731580458,-0.016990000000000005,-0.0386,0.425479492781706,-0.802,0.5719,10,9,10,4,1,5,0.4,0.1,0.5,1.0,0
GOOGL,2026-03-31,0.0514076693184415,278.0400085449219,288.0799865722656,277.0899963378906,287.5599975585937,43875400,281.45,298.34483555385043,298.9284947713216,242.3510882059733,0.0198964285640322,0.2176947368421053,0.2732,0.4042524231682809,-0.7003,0.8151,19,17,19,14,1,4,0.7368421052631579,0.05263157894736842,0.21052631578947367,1.0,1
GOOGL,2026-04-07,0.0182339457940898,302.7300109863281,305.6300048828125,297.7200012207031,305.4599914550781,23205400,297.23399658203124,298.0280950637091,300.68165515718005,244.65775716872443,0.0218731096087804,0.35144000000000003,0.40080000000000005,0.23085883709892213,0.0,0.6249,10,9,10,8,2,0,0.8,0.2,0.0,1.0,1
GOOGL,2026-04-08,0.0388267406564266,320.45001220703125,322.0799865722656,315.0199890136719,317.32000732421875,33547100,303.1859985351563,298.5500008719308,301.21522473532053,245.34118228488487,0.0227037334684622,0.283875,0.44765,0.5980520133853624,-0.8271,0.9313,8,7,8,6,0,2,0.75,0.0,0.25,1.0,1
GOOGL,2026-04-09,0.0036870757694167,315.9100036621094,319.5400085449219,311.0599975585937,318.489990234375,23739200,307.40599365234374,299.0952380952381,301.7950931125217,246.02470246572344,0.0227069621225526,0.35446666666666665,0.4286,0.3912859552653005,-0.4767,0.7906,12,9,12,9,1,2,0.75,0.08333333333333333,0.16666666666666666,1.0,1
